concept	concept_name
C2825493	Non-Enhancing Lesion
C0922672	Right lateral rectus
C1167956	Cardiac Resynchronization Therapy
C0030288	Pancreatic duct
C0815700	Right obturator internus
C0226117	Structure of occipital artery
C1282299	Femoral epiphysis
C0030298	Pancreatic Polypeptide
C4254914	Medial patellofemoral ligament
C1711330	Offset
C0234616	Empty delta sign
C0043253	Nonpenetrating Wounds
C0003241	Antibodies
C0228218	Right occipital lobe structure
C0431121	Clear Cell Meningioma
C0547054	Grade four rank
C0446501	Paravertebral region
C4703451	Subpleural honeycombing
C0032009	Pituitary Gland, Posterior
C0439476	cmH2O
C0332664	injured
C0441802	Grade two rank
C0008812	Circle of Willis
C0040808	Treatment Protocols
C0553580	Ewings sarcoma
C1836870	Irregular patellae
C1518052	Subcapsular sinus of lymph node
C0223894	Structure of intercondylar spine of tibia
C0082274	diclofenac epolamine
C0030647	Patella
C0023870	lithium
C0443299	Separate
C0034910	Red nucleus structure
C0229089	Right eye
C0181740	Skin marker
C1302224	Suprasternal short axis view
C0001857	AIDS related complex
C0682561	Prebone tissue
C1517138	Fascicular Pattern
C0226314	Structure of left gastroepiploic artery
C0205413	Patchy distribution
C0028778	Obstruction
C0443152	Bifid
C0038351	Stomach
C0035918	Rubber
C0349707	Aspiration-action
C1531647	Cerebral ventriculomegaly
C0162680	technetium Tc 99m sestamibi
C2931507	Sternal cleft
C1629036	Pelvic tilt (finding)
C0971859	Bone Growth
C0237400	Actual
C0446417	Level of the seventh cervical vertebra
C5194758	Left diaphragmatic hernia
C2317073	Fetal Pyelectasis
C0410330	Hill-Sachs Lesion
C0018809	Heart Neoplasm
C0231174	Failure (biologic function)
C0230779	Rough endoplasmic reticulum
C0006255	Bronchi
C0435001	Ligament injury
C0029453	Osteopenia
C0521654	Neurologic Deficits
C0339821	Concha bullosa
C0005889	Body Fluids
C3897493	Stent Thrombosis
C0263214	Pyotraumatic dermatitis
C0036572	Seizures
C0040264	Tinnitus
C0225442	Trunk of elephant
C0152295	Cerebral white matter structure
C1510420	Cavitation
C0226319	Structure of inferior pancreaticoduodenal artery
C0918040	Gelfoam
C0038000	Splenic Rupture
C0226841	Structure of profunda femoris vein
C0457109	Cardiac border
C0015029	Ethmoid Sinusitis
C0080218	Tethered Cord Syndrome
C0007461	Caudate nucleus structure
C0232339	Normal vascular flow
C1522466	Tunica Albuginea
C1333400	Gadolinium-Enhancing Lesion
C0182209	Perforator
C0026024	Microscopy, Phase-Contrast
C0925353	Right parietal bone
C0225705	Bronchopulmonary segment
C1096307	Lesion of spleen
C0227301	Descending part of duodenum
C0205116	Efferent
C1881275	Isocenter
C0024348	Lysis
C0266470	Cerebellar Hypoplasia
C0278252	Prognosis bad
C0022742	Knee
C0443289	Revealed
C0068790	nitinol
C0152336	Structure of head of caudate nucleus
C0020649	Hypotension
C1334972	Nodular Pattern
C3715208	AV Block First Degree by ECG Finding
C3640705	Proximal Left Anterior Descending Artery
C1319065	Castrated male
C0003617	Appendix
C0746408	mass lesion
C0920882	Region of neck (body structure)
C0007785	Cerebral Infarction
C0332445	Normal position
C1510412	Pseudoaneurysm
C1856123	Pulmonary artery sling
C0018180	Granulation Tissue
C0175730	biomedical tube device
C0162510	Caroli Disease
C0003850	Arteriosclerosis
C0006105	Brain Abscess
C0030131	p-Chloroamphetamine
C0040573	Trabecular meshwork structure
C0011649	Dermoid Cyst
C2986823	Signal-To-Noise Ratio
C0222331	Subcutaneous Fat
C0259779	Fibrous Dysplasia
C0015357	Extracorporeal Membrane Oxygenation
C0456909	Blindness
C0205343	Reversible
C0588054	Cervical lymph node group
C0032718	Portal vein structure
C0002962	Angina Pectoris
C0270250	Meconium peritonitis
C0442061	Lateral segment
C4330055	Gross Total Resection
C0194086	Partial nephrectomy
C0577870	Aortic valve vegetations
C0006287	Bronchopulmonary Dysplasia
C0428977	Bradycardia
C0021358	Inferior Colliculus
C0925403	Left occipital condyle
C0205379	Visible
C0002059	Alkaline Phosphatase
C0030567	Parkinson Disease
C0237062	Anteverted uterus
C0006610	CA-125 Antigen
C0065839	mecarzole
C0149554	FRONTAL HORN
C0816437	Infraglenoid tubercle
C4024678	Punctate vertebral calcifications
C4703564	Aortopulmonary collateral arteries
C4476892	Dilatation of large choroidal vessels
C0151699	Intracranial Hemorrhage
C0188664	Total ankle replacement
C0221214	Vascular ring
C0040845	tretinoin
C0149699	Fracture of fibula
C0205197	Complete
C0339897	Transjugular intrahepatic portosystemic shunt procedure
C0234518	Slurred speech
C0002723	Serum amyloid A protein
C0439686	Cirrhotic
C0175190	anterior cingulate gyrus
C0344232	Blurred vision
C0149543	Base of skull structure
C0002902	Anencephaly
C2326002	Infradentale
C0152419	Interrupted aortic arch
C0012624	Discitis
C0582800	Condyle of femur
C0449612	Anomalous artery
C0257766	SILV protein, human
C2314970	Internal diameter
C0037111	Silicone Oils
C1690432	denosumab
C0029118	Opportunistic Infections
C0344482	Hypoplasia of corpus callosum
C0007465	Cause of Death
C4021201	Gastric duplication
C1457887	Symptoms
C0450448	Waveforms
C0279752	Premenopausal - menopausal status
C0729936	Cardiac chamber structure
C1522609	Numerical value
C0036472	Scrub Typhus
C0929240	Superior pole
C4038738	Steep mandibular plane angle
C0225791	Structure of diaphragmatic pleura
C3669021	Air bronchogram on radiograph (finding)
C2700177	Field of View
C4313505	Bilateral hallux valgus
C0205195	Combined
C1709457	Papillary Thyroid Microcarcinoma
C0078414	cisplatin/etoposide protocol
C0457357	Type of fracture
C0231710	Pain in buttock
C0151603	Anasarca
C0180441	Tracheal dilator
C0028881	Structure of odontoid process of axis
C0596395	cyanine
C1704212	Embolus
C0020517	Hypersensitivity
C0502381	Subsegmental bronchus
C1744561	Distal urethra
C0733796	Gastrografin
C0180231	Cup Device
C0277631	Death by strangulation
C0042598	Vestibular Nerve
C2348529	Standardized Uptake Value
C0289863	tissue polypeptide specific antigen
C0923870	Anatomical location
C0003448	Antitubercular Agents
C0179743	CATHETER, CHOLANGIOGRAPHY
C0022665	Kidney Neoplasm
C1866731	Pear-shaped vertebrae
C3163695	Transarterial embolization
C4086024	Biparietal Distance
C1275823	Left anterior oblique projection
C0026069	Middle Lobe Syndrome
C0205122	Segmental
C0011702	Desmosine
C0582817	Inferior oblique muscle structure
C0728938	Partial
C0266174	Duodenal atresia
C0016199	Flank Pain
C1999057	assimilation
C4022835	Bilateral renal atrophy
C2825200	Bare metal stent
C0237007	right adnexa
C0026769	Multiple Sclerosis
C0441732	Type 4
C0227992	Structure of inferior pole of testis
C1854912	Short long bone
C0333050	Loosening
C0346326	Optic Nerve Glioma
C0015934	Fetal Growth Retardation
C0442115	Intraluminal
C0450393	>4 cusps
C2610566	yolk
C0028879	Odontogenic Cysts
C2328515	Left middle cerebellar peduncle
C0232180	Cardiac shunt
C0281351	uridine triacetate
C0423641	Left Flank Pain
C0003501	Aortic valve structure
C0008320	Cholecystectomy procedure
C0205442	Eighth
C4743719	Gastric Curvature Lymph Node
C0023685	Ligaments
C0508000	Structure of right renal vein
C0220920	surveillance aspects
C0221365	Double ureter
C0341906	disproportion
C0014742	Erythema Multiforme
C1179849	Anterosuperior
C2698651	Optimum
C1842152	Anterior osteophytes
C0038356	Stomach Neoplasms
C0238051	Cerebral Angiitis
C0439801	Limited (extensiveness)
C1317694	ROOT DEVELOPMENT
C4021527	Abdominal wall muscle weakness
C0700636	Focal nodular hyperplasia of liver
C0165528	Flecks
C0333596	Deposition of iron
C0183517	Tracheal stent
C0229766	Celiac lymph node
C0085786	Hamman-Rich syndrome
C1269845	Structure of hemidiaphragm
C1305856	C1 innervation
C1510475	Diverticulosis
C0205125	Deep (qualifier value)
C0332493	Fusiform shape
C2984009	Suboptimal
C0016169	pathologic fistula
C0043094	Weight Gain
C0449676	Site of fracture
C1881277	Isodose
C0205169	Bad
C0347805	Fracture of ilium
C0447166	Lower jugular lymph node group
C1707398	Well-Circumscribed Lesion
C0222787	Structure of costal cartilage
C0238207	Ectopic kidney
C1883175	Material Stretched
C0879005	Catheter, drainage
C0222652	Cortex of bone
C0340643	Dissection of aorta
C0519097	Left ventricular aneurysm
C0733996	Left lateral lumbar region of abdomen
C2332834	Mid zone of heart
C0333042	Malposition
C0175659	Weight measurement scales
C0001166	Acoustics
C0224422	Internal obturator muscle structure
C0151620	Hypertensive Encephalopathy
C4282165	Swollen Lymph Node
C0734740	Parenchyma of left kidney
C2980094	regorafenib
C0741221	arthritic change
C0344315	Depressed mood
C0002932	Anesthetics
C0223626	Structure of coracoid process of scapula
C0040300	Body tissue
C4023704	Shoulder dimple
C0441712	Mechanism (attribute)
C0205284	Marginal
C0205262	Occult
C0280573	cytarabine/daunorubicin protocol
C0227580	Structure of uncinate process of pancreas
C0546817	Fluid overload
C0035284	Reticular Formation
C0150305	Positioning - therapy
C0160680	Carotid Artery Injuries
C0205171	Singular
C0034543	Radicular Cyst
C0040046	Thrombophlebitis
C0037116	Silicosis
C2334169	Left putamen
C0012634	Disease
C0922674	Left medial rectus
C0002390	Extrinsic allergic alveolitis
C2749129	Vermian hypoplasia
C0224417	Structure of iliopsoas muscle
C0037369	Smoking
C1184729	Bursa of iliopsoas
C2609129	Autoimmune Pancreatitis
C0878860	angiographic catheters
C0042682	vindesine
C0229090	Left eye structure
C0176940	Distal subtotal pancreatectomy
C0737409	Right obturator artery
C0275911	Tuberculosis of intestines
C0038903	Pulmonary Surgical Procedures
C0796494	lobe
C0008350	Cholelithiasis
C4020818	Conical mandibular incisor
C0178866	tooth filling
C0004096	Asthma
C0016521	Cardiac foramen ovale
C3272642	Meniscal Cyst
C0450123	Tracheobronchial
C0018534	Hallux structure
C3891069	MRI-Based Angiogram
C0025260	Memory
C3821154	right posteriolateral flagellum
C0156156	Gallstone ileus
C0224429	Structure of piriformis muscle
C0016662	Fractures, Open
C4021671	Large carpal bones
C0339152	Orbital emphysema
C0205419	Variant
C1510925	Anti-Dopamine-b-Hydroxylase Monoclonal Antibody-Saporin
C0014563	epinephrine
C0015802	Femoral Fractures
C0037420	Social Interaction
C0226958	Root of tongue
C0224158	Structure of stylohyoid muscle
C1328407	Hip Dysplasia
C0014852	Esophageal Diseases
C0025701	Methyl Green
C0341444	Rupture of liver
C0501116	Right brachiocephalic vein
C0162770	Right Ventricular Hypertrophy
C2733564	Full thickness hole of macula lutea
C0002520	Amino Acids
C3551535	Mitral regurgitation, mild
C0041657	Unconscious State
C0042425	Ampulla of Vater
C4763880	Endovascular Aneurysm Repair
C0309720	PDC, veterinary product
C0226270	Structure of transverse scapular artery
C1848907	Hypoplastic maxillary sinus
C0277845	Retropulsion
C0458827	Airway structure
C0005790	Blood coagulation tests
C1881713	Medical Device Material Separation
C0152150	Pregnancy, Twin
C0333027	Microlithiasis
C4687703	Pericardial Teratoma
C0521618	Stenosis of ureter
C0700148	Congestion
C0040429	Apex of tooth
C0933845	Parenchyma
C0011324	Dental Amalgam
C0205179	Advanced phase
C0686346	Gender Dysphoria
C0206631	Lipomatous neoplasm
C0025867	Metric System
C0819141	Bronchial tree
C2315717	Cryptotia
C0149726	Lung mass
C0152347	Pulvinar structure
C0241984	Honeycomb lung
C0039371	Taxes
C0205183	Benign
C0230285	Structure of rectovaginal septum
C0037006	Shoulder Fractures
C0750532	MILDLY
C0179781	Peritoneal catheter
C0011269	Dementia, Vascular
C0013580	Ectopia Cordis
C0440746	brain tissue surgical material
C0016911	gadolinium
C0226400	Structure of left external iliac artery
C1864795	Superior pectus carinatum
C0016057	Fibrosarcoma
C0039729	Thalamic structure
C0032716	Surgical Portacaval Shunt (procedure)
C0038828	Superior Mesenteric Artery Syndrome
C0228208	Left parietal lobe structure
C0441254	Fixation device
C0227087	Maxillary right primary canine
C0584895	Posterior muscle of thigh structure
C0039600	testolactone
